osm_id,code,fclass,population,name,objectid2,province,district,tehsil,lat,lng
8923659523,1003,village,1114,پھگواڑی ہندواں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2314,75.2069
8923659524,1003,village,1058,دڑیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2334,75.2134
8923659525,1004,hamlet,247,صندوق پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.2321,75.2316
8923659554,1003,village,885,چک کالے خان,381,PUNJAB,NAROWAL,SHAKARGARH,32.233,75.2356
8923659601,1003,village,712,رتن پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.2193,75.222
8923659602,1003,village,557,جوِئیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2216,75.2261
8923659603,1003,village,0,زمبوری,381,PUNJAB,NAROWAL,SHAKARGARH,32.2156,75.2366
8923659604,1003,village,0,جمالپور,381,PUNJAB,NAROWAL,SHAKARGARH,32.2082,75.24
8923659605,1003,village,0,مادھوہ پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.2137,75.2378
8923659606,1004,hamlet,0,کوٹلی گوگیانی,381,PUNJAB,NAROWAL,SHAKARGARH,32.2219,75.2022
8923659607,1003,village,0,سروچ برہمناں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2335,75.1976
8925705444,1003,village,1500,Dorkhan,208,GILGIT BALTISTAN,HUNZA NAGAR,ALIABAD,36.3141,74.63
8934557030,1003,village,1800,Dhab Khushal ڈھاب خوشحآل,309,PUNJAB,CHAKWAL,CHAKWAL,32.9894,72.8766
8940522946,1003,village,0,مسلم آباد,262,KHYBER PAKHTUNKHWA,MARDAN,MARDAN,34.1956,71.9148
8940522947,1003,village,0,امین ‌آباد‎,262,KHYBER PAKHTUNKHWA,MARDAN,MARDAN,34.1902,71.9237
8940522948,1003,village,0,فضل کلے,262,KHYBER PAKHTUNKHWA,MARDAN,MARDAN,34.1861,71.9452
8940522950,1003,village,0,اعوان آباد,226,KHYBER PAKHTUNKHWA,CHARSADDA,CHARSADDA,34.1124,71.7334
8940522951,1003,village,0,نجم آباد,226,KHYBER PAKHTUNKHWA,CHARSADDA,CHARSADDA,34.1299,71.814
8940522952,1003,village,0,زرین آباد,226,KHYBER PAKHTUNKHWA,CHARSADDA,CHARSADDA,34.1464,71.8181
